index,left,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,sales,salary
756,1,0.77,0.92,5,235,5,0,0,IT,low
10570,0,0.64,0.51,4,177,3,0,0,technical,low
4252,0,0.14,0.66,6,142,5,0,0,support,low
11290,0,0.18,0.61,5,174,6,0,0,sales,medium
5842,0,0.59,0.94,4,265,3,0,0,technical,low
13501,0,0.18,0.61,5,174,6,0,0,sales,medium
2649,0,0.76,0.56,3,255,3,0,0,support,medium
12416,1,0.82,1.0,4,229,6,0,0,hr,medium
7165,0,0.91,0.56,4,241,2,0,0,IT,low
1942,1,0.4,0.47,2,144,3,0,0,hr,medium
10990,0,0.78,0.55,3,143,3,0,0,RandD,low
13581,0,0.21,0.43,5,175,2,1,0,sales,high
12960,0,0.96,0.7,3,207,3,0,0,IT,high
3652,0,0.85,0.63,3,167,3,0,0,product_mng,medium
4574,0,0.7,0.98,4,194,2,0,0,IT,medium
6468,0,0.41,0.96,5,167,3,1,0,technical,low
1278,1,0.38,0.56,2,148,3,0,0,technical,medium
8666,0,0.87,0.77,4,261,3,0,0,technical,low
8751,0,0.27,0.86,3,222,5,0,0,support,medium
7537,0,0.42,0.53,3,181,5,0,0,technical,medium
3658,0,0.76,0.74,4,235,3,0,0,RandD,high
1855,1,0.85,0.87,5,246,5,1,0,sales,medium
4101,0,1.0,0.93,5,182,3,1,0,support,medium
3907,0,1.0,0.81,5,243,3,0,0,sales,low
883,1,0.37,0.51,2,128,3,0,0,technical,medium
8368,0,0.85,0.68,3,272,2,1,0,support,medium
10866,0,0.26,0.69,5,213,2,0,0,accounting,high
2062,0,0.72,0.94,4,240,4,0,0,accounting,low
2543,0,0.21,0.65,5,223,3,1,0,sales,low
6766,0,0.51,0.61,4,251,2,1,0,support,low
14135,0,0.94,0.82,4,187,3,0,0,sales,low
12100,1,0.38,0.52,2,154,3,0,0,sales,medium
5728,0,0.73,0.45,5,232,4,0,0,accounting,low
4937,0,0.56,0.58,3,173,3,0,0,support,medium
9692,0,0.79,0.93,5,169,3,0,0,RandD,medium
289,1,0.36,0.48,2,137,3,0,0,technical,low
11737,0,0.69,0.66,3,215,6,0,0,sales,high
3263,0,0.58,0.73,3,165,2,0,0,technical,medium
9997,0,0.64,0.53,3,216,3,0,0,accounting,high
13955,0,0.48,0.89,4,145,3,0,0,sales,low
6105,0,0.67,0.84,4,197,2,0,0,RandD,low
14212,1,0.8,0.86,5,262,6,0,0,sales,medium
8979,0,0.4,0.45,4,113,3,0,0,support,low
4413,0,0.6,0.65,4,160,2,0,0,IT,low
8966,0,0.51,0.91,4,194,2,0,0,technical,medium
8329,0,0.87,0.58,4,259,3,0,0,marketing,low
8724,0,0.82,0.68,2,200,3,0,0,sales,medium
11712,0,0.75,0.66,5,234,2,0,0,management,high
12542,1,0.77,0.91,5,236,5,0,0,marketing,medium
5906,0,0.7,0.96,3,263,3,0,0,accounting,medium
4703,0,0.85,0.86,3,231,3,0,0,support,medium
204,1,0.87,0.9,5,254,6,0,0,support,low
4897,0,0.85,0.81,4,164,4,0,0,sales,medium
9328,0,0.29,0.57,5,149,3,0,0,sales,low
4014,0,0.81,0.78,4,159,3,0,0,support,low
11076,0,0.59,0.48,3,197,3,0,0,product_mng,medium
175,1,0.54,0.74,4,164,2,0,0,sales,low
4104,0,0.65,0.49,4,184,4,0,0,technical,medium
8214,0,0.96,0.97,4,260,3,0,0,support,low
12410,1,0.28,0.45,6,218,4,0,0,accounting,low
3329,0,0.91,0.9,4,174,3,0,0,support,low
14044,0,0.7,0.83,5,241,2,0,0,sales,medium
7808,0,0.87,0.88,3,179,2,0,0,sales,medium
2424,0,0.55,0.88,4,252,3,0,0,management,low
9253,0,0.59,0.63,4,153,3,1,0,sales,low
5047,0,0.93,0.6,4,184,3,0,0,sales,medium
10820,0,0.48,0.58,3,194,3,0,0,technical,medium
1507,1,0.43,0.48,2,149,3,0,0,support,medium
1254,1,0.38,0.49,2,144,3,0,0,hr,low
13671,0,0.59,0.84,4,251,4,1,1,management,low
14492,1,0.27,0.56,3,301,3,0,0,support,low
3774,0,0.55,0.74,3,211,3,1,0,technical,high
4580,0,0.78,0.98,4,157,3,0,0,marketing,medium
979,1,0.11,0.95,6,271,4,0,0,IT,low
2265,0,0.77,0.61,5,146,3,0,0,support,low
5270,0,0.46,0.45,2,172,2,1,0,management,low
2363,0,0.92,0.77,4,185,3,0,0,RandD,medium
5587,0,0.75,0.54,6,138,4,1,0,sales,medium
2016,0,0.9,0.66,3,231,3,0,0,hr,medium
2633,0,0.78,0.59,3,212,2,0,0,technical,low
10988,0,0.32,0.86,4,266,4,0,0,RandD,low
14795,1,0.41,0.56,2,154,3,0,1,support,medium
5792,0,0.18,0.68,6,154,5,0,0,product_mng,medium
2443,0,0.54,0.77,4,271,3,0,0,support,medium
12357,1,0.37,0.54,2,149,3,0,0,support,low
12743,1,0.11,0.9,6,301,4,0,0,technical,low
905,1,0.76,0.93,5,238,5,0,0,product_mng,low
7520,0,0.91,0.74,6,253,2,0,0,technical,low
13071,0,0.76,0.94,3,189,3,0,0,sales,medium
7519,0,0.18,0.86,6,264,3,0,0,technical,high
2290,0,0.81,0.82,4,167,2,0,0,accounting,medium
14703,1,0.11,0.83,6,244,4,0,0,hr,medium
2808,0,0.83,0.98,5,189,4,1,0,management,low
210,1,0.43,0.46,2,156,3,0,0,technical,low
12461,1,0.43,0.5,2,137,3,0,0,support,medium
14987,1,0.9,0.7,5,206,4,0,0,technical,low
9687,0,0.74,0.99,4,156,3,0,0,product_mng,medium
12486,1,0.38,0.49,2,135,3,0,0,accounting,low
7912,0,0.46,0.6,4,119,5,0,0,support,medium
9979,0,0.95,0.65,3,183,3,0,0,support,medium
11575,0,0.49,0.68,3,192,7,0,0,management,high
1970,1,0.53,0.76,5,132,6,0,0,IT,low
2563,0,0.96,0.81,3,212,3,0,0,support,medium
4548,0,0.86,0.56,4,247,3,0,1,technical,high
3508,0,0.66,0.57,3,161,2,1,0,RandD,medium
3059,0,0.25,0.65,3,264,4,0,0,management,low
4880,0,0.59,0.65,4,163,3,1,0,RandD,low
10986,0,0.89,0.71,4,190,3,0,0,RandD,low
14439,1,0.85,0.95,5,236,5,0,0,hr,low
8747,0,0.71,1.0,3,181,4,0,0,technical,medium
7850,0,0.97,0.88,4,139,2,0,0,product_mng,high
6542,0,0.71,0.6,2,251,3,0,0,support,low
11233,0,0.7,0.85,4,142,2,0,0,support,low
5406,0,0.73,0.78,4,181,4,0,0,IT,low
12238,1,0.43,0.53,2,146,3,0,0,marketing,low
13439,0,0.71,0.64,3,267,3,0,0,technical,low
4152,0,0.27,0.47,5,217,6,0,0,accounting,medium
1461,1,0.42,0.53,2,142,3,0,0,sales,low
13177,0,0.87,0.87,4,144,3,0,0,support,low
8636,0,0.55,0.99,3,158,3,0,0,sales,low
6581,0,0.99,0.54,4,236,4,0,0,sales,low
10099,0,0.55,0.74,2,116,3,0,0,sales,low
2521,0,0.8,0.96,4,268,3,0,0,technical,medium
2390,0,0.54,0.69,3,141,4,0,0,sales,low
1163,1,0.78,0.99,5,241,5,0,0,sales,medium
7103,0,0.56,0.78,3,200,2,0,0,support,medium
6525,0,0.75,0.85,4,272,4,0,0,technical,high
5063,0,0.34,0.89,5,266,6,0,0,sales,medium
14449,1,0.43,0.53,2,146,3,0,0,marketing,low
6295,0,0.63,0.53,4,243,2,0,0,technical,low
14632,1,0.1,0.94,6,287,4,0,0,technical,medium
6375,0,0.96,0.47,2,233,5,1,0,technical,low
7882,0,0.65,0.57,3,168,2,0,0,sales,high
2259,0,0.77,0.99,4,153,3,1,0,support,medium
987,1,0.1,0.79,6,249,4,0,0,RandD,low
6571,0,0.5,0.53,3,207,4,0,0,sales,low
2846,0,0.74,0.38,2,126,3,0,0,sales,medium
4999,0,0.64,0.97,4,268,2,0,0,technical,low
1786,1,0.43,0.53,2,143,3,0,0,accounting,medium
219,1,0.89,0.87,5,225,5,0,0,product_mng,low
6134,0,0.65,0.79,4,196,2,0,0,accounting,medium
6259,0,0.91,0.68,4,178,3,1,0,sales,medium
5667,0,0.72,0.53,5,244,4,0,0,sales,medium
6966,0,0.9,0.49,4,185,2,0,0,sales,low
189,1,0.44,0.51,2,156,3,0,0,technical,high
14712,1,0.66,0.57,5,161,5,0,0,technical,high
5931,0,0.66,0.56,3,169,2,1,0,support,medium
6814,0,0.88,0.5,4,216,2,0,0,sales,low
12781,1,0.91,0.96,4,232,5,0,0,sales,low
684,1,0.42,1.0,3,202,3,0,0,sales,medium
2932,0,0.22,0.44,3,166,6,0,0,hr,low
7466,0,0.57,0.42,2,248,4,0,0,IT,medium
2485,0,0.96,0.54,3,153,2,0,0,technical,medium
3166,0,0.61,0.83,3,112,4,1,0,technical,low
13819,0,0.15,0.75,3,259,8,1,0,marketing,high
8321,0,0.78,0.53,3,152,2,0,0,marketing,low
4472,0,0.6,0.59,3,172,3,0,0,technical,medium
5354,0,0.65,0.7,3,231,3,0,0,sales,medium
13881,0,0.5,0.91,4,144,8,0,0,management,medium
12805,0,0.78,0.7,4,139,3,0,0,IT,low
10015,0,0.75,0.95,3,268,3,1,0,sales,low
5187,0,0.73,0.75,5,265,3,0,0,RandD,low
7302,0,0.59,0.68,5,243,2,0,0,support,medium
4117,0,0.44,0.74,4,250,6,0,0,RandD,medium
2009,0,0.74,0.64,4,268,3,0,0,sales,low
12362,1,0.41,0.54,2,145,3,0,0,support,low
4948,0,0.59,0.77,3,169,3,0,0,IT,low
13198,0,0.54,0.73,3,157,3,0,0,RandD,low
11551,0,0.95,0.48,4,225,3,0,0,sales,medium
7620,0,0.73,0.65,3,165,3,0,0,IT,low
13529,0,0.75,0.94,5,194,4,0,0,technical,low
13063,0,0.84,0.54,3,245,3,0,0,sales,low
8173,0,0.79,0.99,4,183,2,0,0,marketing,low
5771,0,0.53,0.6,5,247,3,0,0,technical,low
13209,0,0.82,0.59,5,170,3,0,0,product_mng,low
9032,0,0.43,0.38,2,278,3,1,0,sales,low
7860,0,0.98,0.73,4,140,4,0,0,marketing,low
7471,0,0.42,0.77,3,270,3,0,0,product_mng,low
7501,0,0.62,0.51,4,208,2,1,0,sales,low
13752,0,0.51,0.89,4,233,7,0,0,sales,medium
10579,0,0.52,0.79,4,234,3,0,0,support,low
5094,0,0.96,0.51,3,237,4,0,0,technical,high
2588,0,0.52,0.84,2,226,3,0,0,RandD,low
10475,0,0.91,0.66,3,208,4,0,0,sales,medium
11672,0,0.5,0.68,3,245,4,0,0,marketing,medium
8327,0,0.48,0.64,4,146,2,0,0,marketing,low
12207,1,0.78,0.87,4,228,5,0,0,support,low
9910,0,0.96,0.88,2,193,2,0,0,IT,low
1912,1,0.37,0.57,2,158,3,0,0,technical,low
2433,0,0.87,0.84,5,137,2,0,0,product_mng,low
9177,0,0.75,0.56,3,207,3,0,0,sales,low
14339,1,0.09,0.82,6,250,4,0,0,support,low
12793,0,0.62,0.5,4,156,2,0,0,support,medium
8085,0,0.33,0.39,3,98,3,1,0,RandD,low
11079,0,0.73,0.84,3,216,8,0,0,management,medium
10068,0,0.87,0.66,3,270,2,0,0,product_mng,low
9105,0,0.83,0.78,5,250,2,1,0,sales,low
3664,0,0.55,0.82,3,248,2,0,0,accounting,high
1718,1,0.44,0.54,2,133,3,0,0,technical,low
5242,0,0.76,0.47,3,223,2,0,0,support,medium
1294,1,0.44,0.55,2,137,3,0,0,RandD,low
4015,0,0.14,0.68,5,253,5,0,0,support,low
10725,0,0.52,0.55,3,225,2,0,0,technical,low
6520,0,0.2,0.7,4,221,5,0,0,hr,medium
11972,0,0.55,0.81,3,239,8,0,0,accounting,high
7465,0,0.83,0.81,4,209,4,0,0,IT,medium
4770,0,0.99,0.56,6,128,4,0,0,technical,medium
3698,0,0.42,0.86,2,108,5,0,0,technical,high
14853,1,0.73,0.97,5,235,5,0,0,hr,low
7648,0,0.53,0.87,5,158,3,0,0,sales,medium
1672,1,0.84,0.83,4,239,5,0,0,product_mng,low
4834,0,0.76,0.68,4,204,3,1,0,sales,low
10236,0,0.87,0.64,2,169,3,1,0,marketing,medium
8902,0,0.48,0.51,4,201,4,0,0,support,low
3777,0,0.9,0.94,4,231,3,0,0,technical,medium
12971,0,0.59,0.97,3,257,3,0,0,marketing,low
8650,0,0.69,0.98,3,269,3,1,0,sales,medium
13988,0,0.34,0.72,3,118,4,0,0,IT,low
8825,0,0.36,0.97,5,151,3,0,0,support,low
11467,0,0.55,0.67,3,150,2,0,1,sales,low
11661,0,0.44,0.66,6,134,8,0,0,RandD,high
1617,1,0.76,0.98,4,237,5,0,0,sales,low
3259,0,0.62,0.58,3,202,2,0,0,support,medium
13036,0,0.73,0.93,3,249,2,0,0,IT,medium
5476,0,0.83,0.67,4,139,3,0,0,technical,medium
2821,0,0.22,0.52,5,147,5,1,0,RandD,low
2103,0,0.19,0.58,5,182,2,0,0,technical,medium
13443,0,0.65,0.85,4,201,10,0,0,support,low
2838,0,0.75,0.64,4,247,3,1,0,sales,medium
11982,0,0.73,0.67,2,139,8,0,0,sales,medium
2315,0,0.78,0.76,5,168,4,1,0,sales,low
10055,0,0.31,0.37,2,104,3,1,0,support,medium
2847,0,0.76,0.78,3,189,2,0,0,sales,low
14419,1,0.44,0.5,2,128,3,0,0,support,low
47,1,0.57,0.7,3,273,6,0,0,support,low
11940,0,0.53,0.74,3,172,10,0,1,management,high
4977,0,0.57,0.56,3,191,3,0,0,sales,medium
14663,1,0.1,0.87,6,286,4,0,0,IT,medium
6147,0,0.99,0.97,5,229,2,0,0,technical,medium
7349,0,0.71,0.7,4,213,3,0,0,sales,low
4556,0,0.23,0.67,4,163,5,0,1,support,low
10294,0,0.16,0.97,6,282,4,0,0,product_mng,low
9382,0,0.73,0.74,3,221,3,0,0,RandD,high
10516,0,0.87,0.77,3,190,3,0,0,management,low
3090,0,0.49,0.61,5,133,3,0,0,technical,low
8619,0,0.58,0.74,4,180,3,0,0,product_mng,high
3149,0,0.73,0.48,4,139,5,0,0,sales,medium
7286,0,0.87,0.76,5,254,2,1,0,hr,low
4654,0,0.75,0.78,4,158,5,1,0,RandD,medium
7375,0,0.55,0.98,3,169,2,0,0,support,medium
13938,0,0.88,0.88,4,222,3,1,1,sales,medium
8920,0,0.71,0.61,2,216,2,0,0,product_mng,medium
10796,0,1.0,0.55,4,186,4,1,0,technical,medium
14610,1,0.1,0.87,6,250,4,0,0,sales,low
2857,0,0.35,0.8,3,137,5,0,0,hr,low
2024,0,0.24,0.82,5,179,6,0,0,technical,medium
4761,0,0.6,0.55,3,177,3,1,0,accounting,low
10957,0,0.82,0.53,3,147,3,1,0,technical,low
3630,0,0.97,0.53,4,195,4,0,0,technical,low
5607,0,0.26,0.37,2,232,3,1,0,hr,low
2350,0,0.83,0.52,3,167,2,1,0,IT,low
2887,0,0.79,0.48,4,184,5,1,0,IT,low
14661,1,0.81,0.9,4,226,5,0,0,product_mng,medium
5775,0,0.86,0.69,5,157,4,0,0,support,low
3381,0,0.55,0.69,3,225,2,0,0,sales,medium
8213,0,0.91,0.82,4,260,4,0,0,support,low
9093,0,0.9,0.97,3,141,3,0,0,sales,low
7889,0,0.64,0.85,4,265,2,0,0,accounting,low
6931,0,0.61,0.67,3,188,5,0,0,IT,low
4713,0,0.69,0.68,5,167,3,0,0,technical,low
1135,1,0.11,0.87,6,291,4,0,0,product_mng,low
14481,1,0.44,0.51,2,127,3,0,0,technical,medium
14980,1,0.76,0.89,5,238,5,0,0,technical,high
10865,0,0.96,0.68,3,132,2,0,0,sales,medium
4050,0,0.94,0.91,3,250,3,1,0,management,low
7706,0,0.96,0.59,2,265,2,0,0,RandD,low
14154,0,0.85,0.72,3,245,10,0,0,accounting,medium
14993,1,0.76,0.83,6,293,6,0,0,support,low
9488,0,0.78,0.96,2,174,3,0,0,sales,low
6978,0,0.8,0.74,3,159,2,0,0,hr,medium
2131,0,0.82,0.93,4,185,2,0,0,RandD,medium
8394,0,0.65,0.99,5,240,5,0,0,RandD,medium
2613,0,0.7,0.9,3,225,2,0,0,sales,low
3073,0,0.57,0.96,4,257,3,0,0,sales,medium
4153,0,0.78,0.72,4,219,3,0,0,hr,medium
3431,0,0.6,0.52,4,207,2,1,0,RandD,medium
12958,0,0.93,0.86,4,192,4,0,0,IT,high
4008,0,0.69,0.99,3,198,2,0,0,technical,medium
1946,1,0.38,0.49,2,137,3,0,0,technical,medium
10132,0,0.14,0.49,4,115,4,0,0,support,medium
5002,0,0.59,0.84,4,245,3,0,0,technical,medium
4581,0,0.52,0.91,4,187,2,0,0,sales,medium
7870,0,0.5,0.63,3,160,2,0,0,sales,medium
977,1,0.11,0.87,5,303,4,0,0,IT,low
1022,1,0.36,0.48,2,145,3,0,0,hr,low
11453,0,0.74,0.71,3,206,3,0,0,management,high
11342,0,0.59,0.64,5,123,2,0,0,product_mng,low
9850,0,0.48,0.92,3,234,3,0,0,accounting,medium
13125,0,0.93,0.64,4,253,3,0,0,RandD,low
9279,0,0.83,0.71,3,254,2,0,0,technical,low
5622,0,0.86,0.51,3,230,3,0,0,support,medium
7740,0,0.5,0.53,3,191,2,1,0,hr,low
12160,1,0.1,0.95,7,301,4,0,0,marketing,low
5093,0,0.92,0.55,3,172,2,0,0,technical,high
13518,0,0.72,0.62,3,243,2,1,0,hr,low
2174,0,0.88,0.81,5,193,5,0,0,technical,medium
3101,0,0.8,0.54,4,258,3,0,0,support,low
6270,0,0.73,0.49,3,168,2,1,0,sales,low
9517,0,0.95,0.87,3,201,3,0,0,support,low
3743,0,0.69,0.94,4,235,3,0,0,management,medium
4555,0,1.0,0.59,3,168,3,0,1,support,low
2888,0,0.66,0.75,4,203,3,1,0,IT,low
13395,0,0.84,0.75,4,135,3,0,1,RandD,medium
6419,0,0.15,0.48,6,204,6,1,0,sales,low
10611,0,0.52,0.97,4,170,3,0,0,support,medium
2526,0,0.62,0.49,4,218,4,0,0,sales,medium
12922,0,0.57,0.91,3,193,2,0,0,sales,low
2142,0,0.91,0.56,4,270,2,0,0,marketing,medium
11589,0,0.78,0.8,3,135,7,0,0,sales,medium
8403,0,0.88,0.55,3,263,3,0,0,marketing,low
5614,0,0.54,0.58,3,169,2,1,0,technical,high
4946,0,0.87,0.74,4,207,3,0,0,IT,low
3320,0,0.21,0.7,3,104,2,0,0,technical,low
8077,0,0.67,0.86,3,175,3,0,0,IT,low
5942,0,0.84,0.9,3,230,3,0,0,IT,medium
10946,0,0.88,0.51,3,208,3,0,0,hr,medium
4898,0,0.95,0.52,3,144,3,0,0,sales,medium
13140,0,0.18,0.54,6,209,5,1,0,sales,low
4376,0,0.48,0.64,4,227,3,0,0,sales,low
1865,1,0.11,0.93,5,140,5,0,0,hr,medium
11797,0,0.99,0.97,4,211,2,0,1,marketing,low
6896,0,0.96,1.0,3,231,6,0,0,sales,medium
1149,1,0.77,0.92,5,255,5,0,0,marketing,low
3866,0,0.7,0.9,4,216,3,0,0,support,low
13647,0,0.77,0.71,5,250,3,1,0,sales,medium
10271,0,0.79,0.57,4,152,3,0,0,technical,low
1958,1,0.4,0.57,2,151,3,0,0,support,low
6048,0,0.64,0.99,3,214,2,0,0,sales,medium
11123,0,0.99,0.86,3,167,2,0,0,sales,low
9971,0,0.49,0.74,2,154,3,0,0,support,medium
8127,0,0.72,0.88,3,224,3,0,0,technical,low
11455,0,0.63,0.48,4,179,3,0,0,marketing,low
1813,1,0.1,0.81,6,271,4,0,0,technical,low
14566,1,0.41,0.57,2,136,3,0,0,support,low
14300,1,0.1,0.79,6,291,4,0,0,sales,low
14512,1,0.12,1.0,3,278,4,0,0,RandD,medium
4201,0,0.49,0.71,3,255,2,1,0,accounting,low
11229,0,0.63,0.61,5,186,10,0,0,technical,low
9650,0,0.58,0.79,4,196,3,1,0,hr,low
3066,0,0.93,0.7,3,159,2,0,0,sales,medium
5738,0,0.54,0.68,3,158,3,0,0,sales,low
5807,0,0.48,0.51,5,286,3,0,0,management,low
8017,0,0.64,0.69,4,232,3,0,0,technical,high
1788,1,0.42,0.48,2,146,3,0,0,hr,high
6880,0,0.14,0.71,2,155,3,0,0,sales,low
12148,1,0.84,0.88,4,263,5,1,0,marketing,low
658,1,0.38,0.53,2,146,3,0,0,support,low
11431,0,0.81,0.77,3,221,2,0,0,technical,low
4160,0,0.68,0.91,4,162,3,1,0,technical,medium
5369,0,0.76,0.82,4,172,3,1,0,sales,medium
8326,0,0.6,0.69,6,250,5,1,0,management,low
244,1,0.89,0.86,5,275,5,0,0,sales,low
12747,1,0.43,0.51,2,130,3,0,0,IT,low
6022,0,0.77,0.66,6,181,4,0,0,product_mng,high
13793,0,0.58,0.91,3,195,10,0,0,support,low
9772,0,0.5,0.83,2,220,2,1,0,sales,medium
14646,1,0.41,0.47,2,135,3,0,0,support,low
520,1,0.87,0.94,4,274,5,0,0,IT,low
2275,0,0.94,0.74,5,171,3,0,0,IT,low
6752,0,0.83,0.86,3,273,3,0,0,technical,medium
13996,0,0.53,0.91,4,167,4,0,0,management,high
8900,0,0.61,0.87,3,185,2,1,0,support,low
8175,0,0.68,0.48,5,113,2,0,0,marketing,low
12541,1,0.81,0.87,4,254,5,0,0,marketing,low
7022,0,0.85,0.99,3,201,3,0,0,RandD,medium
14390,1,0.11,0.85,6,308,5,0,0,sales,medium
4668,0,0.53,0.9,3,210,3,0,0,sales,medium
821,1,0.74,0.93,5,244,5,0,0,technical,low
13826,0,0.87,0.89,4,225,8,0,0,marketing,low
10545,0,0.92,0.55,4,220,2,0,0,sales,medium
587,1,0.8,0.83,2,211,3,0,0,support,low
10067,0,0.81,0.77,5,167,4,0,0,product_mng,low
3273,0,0.49,0.52,5,188,4,0,0,product_mng,medium
6143,0,0.52,0.73,4,245,4,0,0,technical,medium
13541,0,0.94,0.61,3,140,2,0,0,support,medium
9030,0,0.94,0.69,3,269,3,0,0,sales,low
14474,1,0.11,0.78,6,260,4,0,0,hr,medium
7510,0,0.96,0.72,4,228,2,0,0,accounting,high
683,1,0.86,0.98,3,158,5,0,0,sales,low
14189,0,0.61,0.68,3,193,2,0,0,marketing,medium
14790,1,0.39,0.55,2,159,3,0,0,technical,high
2431,0,0.77,0.9,4,104,5,0,0,product_mng,low
8468,0,0.66,0.64,5,208,4,0,0,RandD,medium
12293,1,0.11,0.91,6,308,4,1,0,IT,low
6174,0,0.84,0.99,4,134,3,0,0,product_mng,medium
7686,0,0.67,0.92,4,156,2,0,0,support,medium
4344,0,0.91,0.56,4,251,4,0,0,product_mng,medium
703,1,0.44,0.53,2,159,3,0,0,sales,low
6586,0,0.15,0.74,6,178,3,0,0,sales,low
6923,0,0.67,0.73,4,251,3,0,0,support,high
6086,0,0.15,0.9,5,284,4,0,0,support,low
3937,0,0.55,0.54,3,253,2,0,0,support,low
390,1,0.78,1.0,4,253,5,0,0,marketing,low
8100,0,0.71,0.53,5,162,2,0,0,sales,low
